paypal *pt pwynt,other
paypal *paneco,wedding
paypal *patreon patreo,alon
paypal *t. northrup,alon
audible,alon
google *music,alon
paypal *erlps,other
paypal *threadless,alon
google *google storage,alon
paypal *gadgetwraps,alon
recreation.gov,vacation
קלבוני ממתקים,eating out
kickstarter pebble 2 t,alon
חדר האוכל,eating out
סופר פארם רמת אביב ג',groceries
am-pm ברודצקי תא,groceries
ביתא קפה,eating out
סופר פארם רמת אביב,groceries
תחנת רכבת עתלית,transport
סגפרדו-מגל מזרח כביש 6,eating out
מש - קר בעמ,groceries
רשת כוורת בצהל,groceries
דלק גולני דרום,gas
חומוס אליהו גשר הזיו,eating out
דלק מנטה נין התבור,gas
10 ביס,eating out
תמרה יוגורט,eating out
פסטה בסטה תל אביב,eating out
גו נודלס,eating out
דווקא גורמה,groceries
מאה קפה,groceries
שם טוב,eating out
בהדונס החומוס והפול,eating out
באלי אנינגרה,eating out
הוצאת עיתון הארץ-אינ,news
מוזס מסעדה,eating out
enapaj emoh ihsus ez,eating out
תחנת רמת אביב מס' 1 בעמ,gas
השומר 1,eating out
pm am דרך נמיר,groceries
הכובשים,eating out
המלביה,eating out
רב קו אונליין,transport
eroifetnom letoh,eating out
בית המשקאות של אליאסי,groceries
סופר פארם מגדל שלום,groceries
b בזק - הוראת קבע,internet
trillcom,eating out
תן ביס,eating out
tteg,transport
צומת ספרים נמל תא,other
גלידת נווה צדק,eating out
מועדון הקצינים של ג'ירף,eating out
שרותי בריאות כללית הוק,health
הארץ עיתון יומי,news
hot,internet
פיצה האט - רמת אביב,eating out
מרקט,eating out
רולדין ברודצקי,groceries
לחם שולה,groceries
עלים ירוקים-אוניברסיטה,eating out
מפעיל בעמ,other
האחים,eating out
pet point,bulli
יוסף החומוסייה רמת אביב,eating out
סואי,eating out
paypal *slmhthbwrh2,other
paypal *buyme gift,other
paypal *kiezelfaces,alon
עלי קרוואן,eating out : work
הפוטו,other
התיאלנדית בסמטת סיני,eating out
לחמים מאפיה ואספרסו,groceries
מזרח ומערב חנויות,groceries
sregrub acirema,eating out : work
משק ברזילאי בעמ,eating out : work
בר יהודה המכבי 63,eating out
ארומה רוטשילד 22,eating out : work
שרונה בירגארדן בעמ,eating out
וניליה,eating out
יאיר שירותים,other
bbbיגאל אלון,eating out
פרונטו-אופרה איטליאנ,eating out : work
אלאמו,vacation
שבלול,other
aive atsap,eating out
טפאלה אלכוהוליית רחוב עירונית,eating out
ennoterb,other
סאלוף ובניו בעמ,eating out : work
נון סטופ מרקט,groceries
פוטו פילם,alon
bew akinapaj,eating out
קולור טאצ בעמ,other
סופר פארם צייטלין תל אביב,health
חברת החשמל לישראל בעמ,electric bill
ocitsur,eating out : work
רוטשילד 12,eating out : work
ננוצקה,eating out : work
מילה,eating out
פורט סעיד,eating out
מא פאו,eating out
וולפנייט מכבי,eating out
bike -myגמא,alon
גולן טלקום,phone
אר קפה קניון אביב,groceries
דלק מנטה גיבורי ישראל,gas
סוהו קולקשן,other
תחנת רכבת האוניברסיטה,transport
עופרי בס קוסמטיקס,rotem
לאוקסיטן,rotem
טופ שופ רמת אביב,rotem
ltd alle swimwear-צ,rotem
gett,taxi
am-pm ברודצקי ביתא,groceries
bretonne,other
ציון פירות וירקות,groceries
טאגור סנטר,house repair shop
שרותי בריאות כללית הוקר,health
hsiri smoolb yllom,eating out
מסעדת מנדלה,eating out
זיכוי עמלת המרה לשחי,other
מתיתיהו,eating out
תולעת ספרים מזאה,eating out : work
איקאה-ריהוט ועיצוב הבית,home
חברת החשמל לישראל בעמב,electric bill
בוטיק סנטרל,groceries
לה רפובליקה,eating out : work
עגבניה אבן גבירו ל ב,eating out
יין מילנו,unknown
קרביץ ישראל,unknown
diego san,eating out : work
nub eht,eating out : work
רוזינקא,eating out : work
שופרסל שלי רמת אביב א',groceries
היפר טוי דיזינגוף,shopping - other
חומוס השוק,eating out : work
urban תל אביב,home
פילבו מחסני היבואן בעמי,home
הטריפולטאית של בכור בעמט,eating out : work
